violation_id,audit_id,contract_id,content_id,violation_type,description,severity,detected_at,reviewed_at
e3fa4bf8-e1a4-4a9c-ae7c-b18f0a6e3ab8,LATEST_AUDIT,C0001,Show_277,EXPIRED_LICENSE,Content streamed 153 days after contract expiry (2025-06-03),critical,2026-04-01T16:39:44.438761,
fdc3d036-eea3-49b2-b191-105f4e1c6df1,LATEST_AUDIT,C0001,Show_277,TERRITORY_VIOLATION,"Illegal distribution in AU (830 plays detected). Authorized: DE, FR, JP",high,2026-04-01T16:39:44.438761,
f6cde4e6-d08a-493a-8cfa-56466d0e2644,LATEST_AUDIT,C0001,Show_277,TERRITORY_VIOLATION,"Illegal distribution in BR (495 plays detected). Authorized: DE, FR, JP",high,2026-04-01T16:39:44.438761,
8c076ff3-41ca-44ac-a417-d298b15ff4da,LATEST_AUDIT,C0001,Show_277,TERRITORY_VIOLATION,"Illegal distribution in CA (5639 plays detected). Authorized: DE, FR, JP",high,2026-04-01T16:39:44.438761,
4d14563d-aac9-4576-8a2f-aa3d34c2dcdf,LATEST_AUDIT,C0001,Show_277,TERRITORY_VIOLATION,"Illegal distribution in US (4854 plays detected). Authorized: DE, FR, JP",high,2026-04-01T16:39:44.438761,
44313736-9549-449c-ad77-d80fe2cd21d8,LATEST_AUDIT,C0002,Show_008,EXPIRED_LICENSE,Content streamed 166 days after contract expiry (2026-04-05),critical,2026-04-01T16:39:44.438761,
5a250dc1-e249-430a-a6cb-6f183b07cfbb,LATEST_AUDIT,C0002,Show_008,TERRITORY_VIOLATION,"Illegal distribution in AU (3721 plays detected). Authorized: CA, DE, BR",high,2026-04-01T16:39:44.438761,
c4c4c0d5-facb-4ef9-ae1b-80b88cadbd7e,LATEST_AUDIT,C0002,Show_008,TERRITORY_VIOLATION,"Illegal distribution in FR (6133 plays detected). Authorized: CA, DE, BR",high,2026-04-01T16:39:44.438761,
b33d98cc-b99a-419e-8a24-afff68a28eb1,LATEST_AUDIT,C0002,Show_008,TERRITORY_VIOLATION,"Illegal distribution in JP (2457 plays detected). Authorized: CA, DE, BR",high,2026-04-01T16:39:44.438761,
55a5c1a8-1c30-4477-b79d-fe5f9d11761a,LATEST_AUDIT,C0002,Show_008,TERRITORY_VIOLATION,"Illegal distribution in UK (4268 plays detected). Authorized: CA, DE, BR",high,2026-04-01T16:39:44.438761,
